x (mm),y (mm),Spec 11000000.0Hz,Spec 12000000.0Hz,Spec 13000000.0Hz
126.27606825000001,35.500008375,(-15721.980670886074-4655.518881502498j),(-7037.306690124789-7818.430839104023j),(-1288.523638079606-7641.464091371719j)
126.04723012500003,35.500008375,(-15431.545287664972-5557.185163677412j),(-6536.896329734511-8244.978295120498j),(-765.8149752519494-7712.892174849969j)
125.80953375000001,35.500008375,(-15614.53292221857-5016.648102364174j),(-6838.044858283345-7992.415545721782j),(-1081.761819206817-7673.260699877486j)
125.59545937499999,35.500008375,(-15366.469752911826-5729.938130687076j),(-6431.997964239688-8323.282888716045j),(-662.2917653673632-7721.260766899837j)
125.38448062500002,35.500008375,(-15433.94262872179-5554.838753500145j),(-6535.786827224372-8243.102707154078j),(-766.9957545243476-7711.515638330204j)
125.17678800000002,35.500008375,(-15238.172422100615-6086.275413101919j),(-6221.797253065487-8487.495868921684j),(-451.36074188038424-7739.200426664489j)
124.93790100000001,35.500008375,(-15496.724430806924-5376.585268455845j),(-6640.8799833187395-8159.115644858959j),(-874.275671166585-7701.07686138949j)
124.71915937500002,35.500008375,(-15674.947327294989-4839.173465264138j),(-6942.641282207018-7905.602813737496j),(-1186.9660000537015-7659.448554310044j)
124.513419375,35.500008375,(-15367.12445465674-5735.28203910018j),(-6432.541065507559-8329.256406414805j),(-664.3494656423466-7725.507966468738j)
124.279009125,35.500008375,(-15440.690803856485-5556.197273150739j),(-6537.4937013850595-8246.728097153375j),(-765.582697564845-7713.986353425325j)
124.073650125,35.500008375,(-15828.514671871788-4291.831441634494j),(-7235.346376774991-7638.157233028559j),(-1498.5699528502805-7604.90323675867j)
123.8560515,35.500008375,(-15833.567062348307-4290.003722772948j),(-7235.306697346112-7636.8237929812885j),(-1498.9656450788393-7604.936081406289j)
123.591828,35.500008375,(-15501.761649072707-5376.8001748087845j),(-6636.747881648968-8162.697506980406j),(-869.869144035765-7700.328667410644j)
123.38256375,35.500008375,(-15675.671402723645-4837.846891489187j),(-6939.401337018074-7904.212029496568j),(-1187.4428411515178-7659.7270730622295j)
123.16968,35.500008375,(-15559.099877667595-5195.108907431928j),(-6741.547906432348-8078.460423311395j),(-978.4855009004075-7688.84602800488j)
122.93579362500002,35.500008375,(-15619.569549214788-5020.498216301508j),(-6841.638675186654-7991.441659542758j),(-1083.6409686534394-7676.850332572352j)
122.68047600000001,35.500008375,(-15615.458278665086-5016.342511483072j),(-6843.371573117781-7992.2331297236515j),(-1082.6821608386717-7678.128637829786j)
122.44625625,35.500008375,(-15089.288076568831-6426.932329688913j),(-6004.238131043985-8635.099410703619j),(-242.14088204036995-7747.431209217013j)
122.23623,35.500008375,(-15373.302569910593-5728.630034424516j),(-6434.5856806902975-8326.345078850543j),(-664.2443744456457-7722.396959961168j)
122.027775375,35.500008375,(-15500.933038430314-5374.573791119431j),(-6641.577773704476-8158.320741546109j),(-875.382741435955-7702.293592081329j)
121.815987,35.500008375,(-15088.160446939724-6431.570513345405j),(-6005.059592294834-8635.548041321728j),(-243.4404673298196-7746.767175150753j)
121.57962412500001,35.500008375,(-15365.593707664046-5730.832600520411j),(-6434.486083700004-8320.3538867126j),(-663.9580016517826-7721.958184204113j)
121.362644625,35.500008375,(-15435.863403036237-5553.848364679874j),(-6537.409804464419-8247.407545990816j),(-769.6048687330406-7713.688536705843j)
121.13675925,35.500008375,(-15617.676776692591-5011.084679638967j),(-6842.529149712744-7992.138868680302j),(-1085.1263072570093-7675.791022609342j)
120.91958925,35.500008375,(-15232.120871733685-6079.718465254338j),(-6218.974125271172-8481.724379593554j),(-454.1167562512068-7737.153457148991j)
120.6750825,35.500008375,(-15678.344046932198-4832.1486619735715j),(-6944.679056111793-7904.706489113258j),(-1187.8405663625917-7659.75007619561j)
120.41857425,35.500008375,(-15730.171784242322-4653.108662467423j),(-7041.5027411528845-7814.219194888778j),(-1294.0270968891743-7640.255851774713j)
120.16982887500001,35.500008375,(-15561.244132877315-5191.15329980629j),(-6747.394025277791-8076.624718870271j),(-981.5539885023627-7690.883898694288j)
119.96137425,35.500008375,(-15237.658815315546-6080.600709926221j),(-6223.401601986578-8482.466001752775j),(-454.23153473138814-7738.757816214074j)
119.7176295,35.500008375,(-15669.038431651577-4830.796935901659j),(-6940.794672935486-7901.500415910376j),(-1188.8076769157503-7657.7524864515435j)
119.48436225,35.500008375,(-15836.340609836778-4287.501427637292j),(-7238.0219711272875-7636.204222580611j),(-1501.6479250920331-7605.454734173261j)
119.24628487500001,35.500008375,(-15833.586049760042-4290.272110591048j),(-7236.4748832837795-7636.214215229187j),(-1501.2942847421677-7605.600787375617j)
119.03506800000001,35.500008375,(-15240.04686764485-6085.312044237793j),(-6225.768376331876-8486.409801247795j),(-456.65069036460477-7737.747347559289j)
118.826232375,35.500008375,(-15307.616143613737-5910.1166213040615j),(-6331.369998643082-8406.891459406224j),(-559.0815883305695-7731.397150567729j)
118.61777775,35.500008375,(-15784.139359420613-4468.687559427628j),(-7139.374829340575-7723.64974411085j),(-1395.8881868606252-7622.621745764083j)
118.37112787500001,35.500008375,(-15230.628179960939-6075.990086948337j),(-6219.212473904443-8480.110559429531j),(-455.2907388966171-7735.223092322301j)
118.16305425000002,35.500008375,(-15237.93671634601-6083.502668330983j),(-6225.527526681405-8487.280059071038j),(-455.12786144047067-7740.02588926355j)
117.925167375,35.500008375,(-15617.720172921403-5017.6191737331965j),(-6844.538634387014-7993.524315053201j),(-1081.8133817355515-7677.585343552362j)
117.71399812500002,35.500008375,(-15678.99232232992-4836.273786375112j),(-6944.116284512989-7906.02140092325j),(-1187.8527381885324-7661.870054439455j)
117.51211575,35.500008375,(-15299.896172091905-5902.514770931356j),(-6331.69629960651-8403.624259410328j),(-562.6450347530836-7730.25814935848j)
117.24551100000001,35.500008375,(-15726.882129006302-4648.744903120736j),(-7041.883884486751-7816.007464120285j),(-1292.8940178823118-7641.839104528812j)
117.01576800000001,35.500008375,(-15373.168276645072-5728.572372601116j),(-6436.741208649253-8326.39064759139j),(-665.1011850882401-7722.809113664716j)
116.83017337500002,35.500008375,(-15367.685829603282-5725.338707509274j),(-6433.1208903364095-8321.795882165923j),(-664.8231664905622-7720.206988276701j)
116.61490837500001,35.500008375,(-15165.151096697775-6256.331445208075j),(-6119.44978776961-8562.546334748446j),(-349.75934839676506-7745.385262056219j)
116.39483325,35.500008375,(-15375.19397302138-5727.122165286553j),(-6436.389971507812-8323.387552298202j),(-663.708120788908-7721.980990059127j)
116.15904187500001,35.500008375,(-15564.576962947862-5194.9789684382495j),(-6741.277170356298-8079.972628298993j),(-978.8998051067007-7691.564843823584j)
115.943634,35.500008375,(-15677.734546163256-4835.776962480559j),(-6948.135333462921-7904.464842457561j),(-1189.9809536615176-7661.081354487505j)
115.71227175000001,35.500008375,(-15786.875220583712-4469.820159126103j),(-7141.953511914669-7725.256945507641j),(-1397.1950007738533-7625.513224224856j)
115.498006875,35.500008375,(-15170.104976587172-6261.1335990601465j),(-6119.381792813977-8563.988694479785j),(-349.2562547920601-7744.930594271007j)
115.286456625,35.500008375,(-15829.407631544476-4286.042696323824j),(-7237.818609027947-7635.474545762048j),(-1501.5907616776158-7603.602739941769j)
115.048141125,35.500008375,(-15439.349835336216-5548.169940597289j),(-6539.750345103378-8242.492406141031j),(-770.837524041036-7714.520304171375j)
114.837162375,35.500008375,(-15168.429137725903-6254.494754406392j),(-6120.222254358286-8561.290266893448j),(-348.29812133216944-7746.680814124469j)
114.62485012500001,35.500008375,(-15505.667500585974-5368.229749688921j),(-6641.182809483182-8159.308009731315j),(-874.7753567136909-7703.213457472404j)
114.414442875,35.500008375,(-15887.037641338498-4105.7067098638945j),(-7333.158670108755-7542.914708441971j),(-1608.0405788810135-7584.218554106244j)
114.203464125,35.500008375,(-15094.807687177083-6435.171084129888j),(-6009.591736408709-8635.334093295434j),(-245.12673013341401-7747.219774305905j)
113.98819912500001,35.500008375,(-15376.102907916293-5728.817139295369j),(-6435.421864366636-8325.359906981857j),(-665.225744482824-7720.828801987782j)
113.78422125000002,35.500008375,(-15303.837658226585-5903.4950895134425j),(-6331.07799673205-8404.526791903874j),(-561.9936383321303-7732.618523567742j)
113.54242912500001,35.500008375,(-15619.867574015665-5011.235363717911j),(-6843.845050819263-7988.406905374597j),(-1085.472863466971-7674.151654962658j)
113.29154062500001,35.500008375,(-15728.153104654291-4650.626214624439j),(-7042.516813657807-7813.167924251051j),(-1294.6789863301317-7641.848480384439j)
113.08927725000001,35.500008375,(-15681.31858418739-4833.7298395039725j),(-6947.554575019163-7906.301191705409j),(-1190.45517397017-7661.830667572798j)
112.8786795,35.500008375,(-15617.14792315947-5012.891391347559j),(-6843.161941104426-7986.859452944975j),(-1086.357983245094-7673.816020923803j)
112.670034375,35.500008375,(-15734.2690237367-4651.763939663391j),(-7045.176894908781-7816.850175025858j),(-1293.3626992111833-7645.368607993232j)
112.4584365,35.500008375,(-15834.912581081466-4285.703586134058j),(-7239.452420824052-7633.258852700188j),(-1499.8584916354748-7603.960151099433j)
